essay_id,full_text,score
000d118,"Many people have car where they live. The thing they don't know is that when you use a car alot of thing can happen like you can get in accidet or the smoke that the car has is bad to breath on if someone is walk but in VAUBAN,Germany they dont have that proble because 70 percent of vauban's families do not own cars,and 57 percent sold a car to move there. Street parkig ,driveways and home garages are forbidden on the outskirts of freiburd that near the French and Swiss borders. You probaly won't see a car in Vauban's streets because they are completely ""car free"" but If some that lives in VAUBAN that owns a car ownership is allowed,but there are only two places that you can park a large garages at the edge of the development,where a car owner buys a space but it not cheap to buy one they sell the space for you car for $40,000 along with a home. The vauban people completed this in 2006 ,they said that this an example of a growing trend in Europe,The untile states and some where else are suburban life from auto use this is called ""smart planning"". The current efforts to drastically reduce greenhouse gas emissions from tailes the passengee cars are responsible for 12 percent of greenhouse gas emissions in Europe and up to 50 percent in some car intensive in the United States. I honeslty think that good idea that they did that is Vaudan because that makes cities denser and better for walking and in VAUBAN there are 5,500 residents within a rectangular square mile. In the artical David Gold berg said that ""All of our development since World war 2 has been centered on the cars,and that will have to change"" and i think that was very true what David Gold said because alot thing we need cars to do we can go anyway were with out cars beacuse some people are a very lazy to walk to place thats why they alot of people use car and i think that it was a good idea that that they did that in VAUBAN so people can see how we really don't need car to go to place from place because we can walk from were we need to go or we can ride bycles with out the use of a car. It good that they are doing that if you thik about your help the earth in way and thats a very good thing to. In the United states ,the Environmental protection Agency is promoting what is called ""car reduced""communtunties,and the legislators are starting to act,if cautiously. Maany experts expect pubic transport serving suburbs to play a much larger role in a new six years federal transportation bill to approved this year. In previous bill,80 percent of appropriations have by law gone to highways and only 20 percent to other transports. There many good reason why they should do this.    ",3
000fe60,"I am a scientist at NASA that is discussing the ""face"" on mars. I will be explaining how the ""face"" is a land form. By sharing my information about this isue i will tell you just that.

First off, how could it be a martions drawing. There is no plant life on mars as of rite now that we know of, which means so far as we know it is not possible for any type of life. That explains how it could not be made by martians. Also why and how would a martion build a face so big. It just does not make any since that a martian did this.

Next, why it is a landform. There are many landforms that are weird here in America, and there is also landforms all around the whole Earth. Many of them look like something we can relate to like a snake a turtle a human... So if there are landforms on earth dont you think landforms are on mars to? Of course! why not? It's just unique that the landform on Mars looks like a human face. Also if there was martians and they were trying to get our attention dont you think we would have saw one by now?

Finaly, why you should listen to me. You should listen to me because i am a member of NASA and i've been dealing with all of this stuff that were talking about and people who say martians did this have no relation with NASA and have never worked with anything to relate to this landform. One last thing is that everyone working at NASA says the same thing i say, that the ""face"" is just a landform.

To sum all this up the ""face"" on mars is a landform but others would like to beleive it's a martian sculpture. Which every one that works at NASA says it's a landform and they are all the ones working on the planet and taking pictures.",3
001ab80,"People always wish they had the same technology that they have seen in movies, or the best new piece of technology that is all over social media. However, nobody seems to think of the risks that these kinds of new technologies may have. Cars have been around for many decades, and now manufacturers are starting to get on the bandwagon and come up with the new and improved technology that they hope will appeal to everyone. As of right now, it seems as though the negative characteristics of these cars consume the positive idea that these manufacturers have tried to convey.

Currently, this new technology in cars has a very long way to go before being completely ""driverless"". Drivers still need to be on alert when they are driving, as well as control the car near any accidents or complicated traffic situations. This seems to totally defeat the purpose of the ""driverless"" car. Eventually the technology may improve, but nobody can be certain that the driverless car will eventually become completely ""driverless"". This idea just seems like a lot of hard work and money for something that is not very neccessary. If someone does not want to drive their car they can just take a city bus or a subway. There are so many options of transportation that can already solve this problem. Even if masnufacturers are trying to make driving more ""fun"", driving is not meant to be ""fun"" it is meant to get people where they need to go. Playing around in a car just to have ""fun"" is just a recipe for disaster.

The idea of the driverless car also raises many questions about who will be liable when someone gets into an accident in one of these new cars. Many states do not even let people drive semi-automatic cars because there are not even laws that pertain to the liability of anyone who get into an accident while driving these type of cars. If these cars become more popular, states may pass new laws. However, this topic also raises questions about who is able to dictate whether or not it was the car or the human's fault for an accident. Since this technology is so new, there could be many problems with the car's system that nobody has even discovered since they have not drove the car themselves. If someone test drives this kind of car or even purchases one and they get into a crash not knowing what could possibly happen to them, they will want to sue the car manufacturer since they were not aware of any bugs in the car's system. These lawsuits can add up and eventually the manufactuers will be in a bunch of debt, which could cost them their whole idea of the driverless car.

The technology car manufacturers are trying to develope may just be a diasaster in the making. There are many alternative options of transportations if you do not feel like driving yourself, and these options are way less expensive than buying a brand new car. Although this technology is relatively new, we can not be certain that this new idea will even pay off in the end, it may just be a waste of money and time. Sometimes the newest technology is not the most benefical.         ",4
001bdc0,"We all heard about Venus, the planet without almost oxygen with earthquakes, erupting volcanoes and temperatures average over 800 degrees Fahrenheit but what if scientist project the futur into this planet ? Through this article, the author uses evidences appealing to reason and concession to make us realize why we should care about studying this planet so that people must give a chance to Venus.

Venus is the closest planet to Earth in terms density and size but has a really different climate. As it is evoked by the author:

( 3) ""A thick atmosphere of almost 97 percent carbon dioxide blankets Venus. Even more challenging are the clouds of highly corrosive sulfuric acid in Venus’s atmosphere. On the planet’s surface, temperatures average over 800 degrees Fahrenheit....Beyond high pressure and heat, Venusian geology and weather present additional impediments like erupting volcanoes, powerful earthquakes, and frequent lightning strikes to probes seeking to land on its surface."" The author uses of concession tell us what is the actual climate of Venus. He tell us the truth, he support the fact that studying Venus is a worthy pursuit but he also recognize that there's a danger present continuously. And because he support the idea of studying Venus, he proposes ways to study the planet and find a solution at a reasonable distance.

Venus is an inhospitable planet that can almost be considered as an impossible dwelling for humans. But for the author, that can't keep scientist to do their job (studying Venus) : (5) ""NASA’s possible solution to the hostile conditions on the surface of Venus would allow scientists to float above the fray. Imagine a blimp-like vehicle hovering 30 or so miles above the roiling Venusian landscape. Just as our jet airplanes travel at a higher altitude to fly over many storms, a vehicle hovering over Venus would avoid the unfriendly ground conditions by staying up and out of their way. At thirty-plus miles above the surface, temperatures would still be toasty at around 170 degrees Fahrenheit, but the air pressure would be close to that of sea level on Earth."" Through this evidence, appealing to reasonning, the author talk about the NASA's possible solution to raise his credibility. But also, to convince the audience that we can only find a solution by studying the planet.

In conclusion, despite of Venus hostility put in advance by the concession, the author makes the audience realize that there's a solution but that we can find it only if we study the planet. He make us find out that challenge and curiosity is part of human life. But also that danger and fear should not stop us from discovering new things. After all, we are Humans.",4
002ba53,"Dear, State Senator

This is a letter to argue in favor of keeping the Electoral College.""There are many reasons to keep the Electoral College"" one reason is because it is widely regarded as an anachronism, a dispute over the outcome of an Electoral College vote is possible, but it is less likely than a dispute over the popular vote, and the Electoral College restores some of the weight in the political balance that large states (by population) lose by virue of the mal apportionment of the Senate decreed in the Constitution.

I am in favor of keeping the Electoral College because,it is widely regarded as an anachronism. A non-democratic method of selecting a president that ought to be [overruled] by declaring the canaditdate who receives the most populare votes the winner. The advocates of this position are correct in arguing that the Electoral College method is not democratic in a method sense.It is the electors who elect the the president ,not the people. But each party selects a slate of electors trusted to vote for the party's nominee (and that trust is rarely betrayed).

Another, reason I am in favor of keeping the Electoral College is because, a dispute over the outcome of an Electoral College vote is possible. But it is less likely than a dispute over the popular vote. But it is less likely than a dispute over the popular vote. The reason is that the winning canadate's share of the Electoral College invariably exceeds his share of the popular vote.

Last but not least, I am in favor of keeping the Electoral College is because, the Electoral College restores some of the weight in the political balance that large states (by population) lose by virue of the mal apportionment of the Senate decreed in the Constitution. A larger state gets more attintion from presidential canadidates in a campaign than a small state does. It can be argued that Electoral College methods of selecting the president may turn off potential voters for a canadidates who has no hope of carrying their state. But of  course no voter's vote swings a national election, and in spite of that, about 1/2 the eligible American population did vote in the [2012's] election.

From, PROPER_NAME            ",3
0030e86,"If I were to choose between keeping the electoral college or abolishing it, I would chose for abolishing it. The electoral college has a system that can be considered confusing to most americans. This system indirectly transfers citizen's votes to congress. This allows for loopholes and sabaotage to be commited during the process of electing a president.

I propose abolishing the electoral college and replacing it with a simpler system that appeals to all united states citizens instead of just certain citizens. Based on phrases in the passage, there is evidence that the electoral college system is corrupt. An example would be:

Back in 1960. segregationalists in the Louisiana legislature nearly succeeded in relpacing the Democratic electors with new electors who would oppose John F. Kennedy. (So that a popular vote for Kennedy would not have actually gone to Kennedy.)

-source 2, second paragraph.

This is stating that in 1960 people who opposed Kennedy nearly became his electors. So if they succeeded in becoming his electors his votes would have gone to another opposing candidate. This could not happen with a system of voting that directly conected everyones votes with congress. This was a clear case of sabotage in the election of 1960.

Votes in larger states and smaller states are balanced out so the number of votes would not be based on the number of people in the states. This can be seen as a way to make sure that state votes did not compare to the population of said states. In reality it is limiting the votes of citizens. If people ignored how larger states had more people than smaller states and just thought of everyone as individuals everyone would have a say. The system I am proposing does not view states as the voters, but every american citizen as one. After everyone passed their votes, they would all be tallied and which ever candidate had the most votes would win.

You may think that the votes could be sabotaged, and that politicians could put in fake votes and get rid of real ones. This problem could be dealt with by maximized security. There would be videocameras wherever the votes could be swaped.

I propose this system to ensure that every citizen has a vote, and that corruption while transitioning the votes would be eliminated. This would be a less confusing system that could make voting more efficient.            ",4
0033037,"The posibilty of a face reconizing computer would be very helpful for children or even adults. Its would be helpful in a ways of satifying our needs and why showing us thing that would make going on the internet better.

I think that the face reconizing computer would be very reliable; because in the text its says "" A class room computer could recognize when a student is confused or bored"". And if the students is ""confused and bored"" then the students is not really learning anything, beacuse all children can't be taught the same way. Some children have trouble learning or its harder for those children to learn; in a result of failing grades and low participation happening in the classroom.

In my conclusion I think that face reconizing computers would the best thing for students. In way if a students were to not understand what her/she is learning in class the face reconizing computer could realize that the child doesn't understand is and give more instructions on what to do for the topic or assingment the're doing.",2
0033bf4,"What is the Seagoing Cowboys progam?

It was to help many countries that had been scarred by World War II.

These people helped with cattle and other animals that were shipped to Europe to help them.

People were asked to help by the United Nations Relief and Rehabilitation Administration, or UNRRA.

People should join the Seagoing Cowboys progam because, you get to help other countries and people, you get to see many parts of the world, and you have fun.

If you are in the Seagoing Cowboys progam, you can help other countries by giving them animals for food and work.

It makes you feel good about yourself.

The article says, "" It made me more aware other countries and their needs.""

That would make someone feel good about themselves for helping other countries.

Wouldn't that make you feel good?

In the Seagoing Cowboys program, you can see many parts of the world depending on where you are going.

You could see Italy and other countries.

The article states, ""Besides helping people, I had the benefit of seeing Europe and China.""

That would be very exciting.

How would you like to see a bunch of different countries while working?

You wouldn't have to pay for travel

While working for this program, you would also have fun.

The people aboard the ship would play games on the way back to get more animals.

The cowboys would also play baseball and other games in empty ship holds where the animals were on the way there. Also the article even states that they played games.

Even though you are working, you will still have fun.

So, if you are in the Seagoing Cowboys program, you will have fun, you will feel good about yourself, and you will also get to tour and visit many different parts of the world.

Many people helped with the Seagoing Cowboys program.

They helped many countries in Europe.

The cowboys still got to do what they always did, help with animals.

So, do you think that you would want to become a Seagoing Cowboy?

Or at least be in the program.  ",3
0036253,"The challenge of exploring Venus

This storie is about the challeng of exploring Venus. The auhor talked how venus is closest planet in earth. The author support the idea by showing us how studying venus is a worthy pursuit despite the dangers.

in the story the author talked about how studying venus is worthy. In the story the said ""venus has the hottest surface temperature of any planet in our scholar system. The value of returning to venus seems indisputable, but what are the options for making such a mission both safe scientifically productive. This quotes revals that venus is worthy because people use for a lot things such as going to missions.

In the article the author taked about how venus is pursuit. in the article the the author said NASA's possible solution to the hostile conditions o the surface of venus would allow scientitis to float above the fray. Imagine a blimp-like vehicle hovering 30 or so miles above the roiling venusian landscape. Ths quotes means thta venus is pursuit because is halping people wiht the electronic such as vehicule.

In the story the author talked abouth how Venus is despite in danger. In the storis the author said"" Beyond high presure and heat, venusian geogoly and weather presentadditional impedimants like erupting volcanoes, powerful earthquakes, and frequent lihgtning strikes to probes seeking to lead on its surface. By comparing, system that use mechenical parts can be made more resistant to pressure,heat,and other foces"". This quotes mean that Venus is despite in danger because it barley causes dager like other planet.

the author support the idea by showing us how Venus is a worthy pursuit despite in danger. In this storie the author talked how venus plante is different from the other planet in the earth surface. The author also talked about hoe Venus don't cause volcanoes and earthquakes.     ",2
0040e27,"There are many reasons why you should join seagoing cowboys program. You would be helping your country. You'd be traveling around the world. Last you'd have lots of fun over seas.

You'd be helping our country because when Luke was in seagoing cowboy program it was 1945 and world war 2 was happening in Europe and he had to those countries recover. Luke had to help the horses when the war was over to get people places and to work. If you were 18 or up you might be lucky and be drafted into the military service. The UNRRA would hire seagoing Cowboys to feed the horses cows and mules that were shipped overseas.

You'd be traveling around they world like Luke did. It took Luke 2 weeks to cross the Atlantic Ocean from the eastern coast. You'd be traveling to China, Europe, Greece, and many more places. The only way you'd be good at this job is if you wouldn't get sea sick because if you are a seagoing cowboy told travel overseas a lot.

You'd have fun overseas if you don't get seasick. You'd have many adventures. You'd have many stories to tell your friends and family. You'd been in countries you'd didn't think you'd be in. You'd be able to play games in the countries you visit in the seagoing Cowboys program.

If you join the seagoing Cowboys program you'd love it. You'd be traveling. You'd be having fun. You'd be helping our country. So why don't you join our seagoing cowboy program. I bet you'd love to be in this program with all our helpful friends and family that want to try to help our country. ",3
